Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,Device Count
"Trece Martires City, Cavite, Philippines",14.28222,120.86837,Globe,44192,6089,44.19,6.09,21,38,11,17
"Tanauan City, Batangas, Philippines",14.08354,121.14762,Smart,25178,3162,25.18,3.16,30,38,15,24
"Mabalacat City, Pampanga, Philippines",15.24525,120.56567,DITO,19445,5648,19.45,5.65,24,37,11,19
"Naawan, Misamis Oriental, Philippines",8.43488,124.34214,Globe,14409,9746,14.41,9.75,22,36,2,3
"Talisay, Cebu, Philippines",10.25859,123.82413,Globe,51496,9647,51.50,9.65,24,36,16,25
"Tuguegarao City, Cagayan, Philippines",17.60306,121.75374,Smart,43158,7617,43.16,7.62,34,36,10,16
"Catarman, Northern Samar, Philippines",12.44271,124.61927,Smart,21750,1172,21.75,1.17,33,36,5,8
"La Castellana, Negros Occidental, Philippines",10.33198,123.10141,Smart,19002,15634,19.00,15.63,26,36,1,5
"Dagupan City, Pangasinan, Philippines",16.03375,120.33202,Globe,63472,8139,63.47,8.14,23,35,9,16
"Lucena City, Quezon, Philippines",13.94139,121.62345,DITO,36559,3561,36.56,3.56,25,35,13,19
"Cabuyao City, Laguna, Philippines",14.27433,121.11961,DITO,24660,1919,24.66,1.92,26,35,16,23
"Calapan City, Oriental Mindoro, Philippines",13.36643,121.19395,Smart,71912,18899,71.91,18.90,20,35,8,24
"Sablayan, Occidental Mindoro, Philippines",12.88349,120.98763,Smart,35247,8878,35.25,8.88,31,35,1,5
"Silang, Cavite, Philippines",14.22025,120.96469,DITO,16152,5689,16.15,5.69,22,35,6,16
"Santo Tomas, Batangas, Philippines",14.08754,121.17764,Globe,28912,8473,28.91,8.47,19,35,21,25
"Pavia, Iloilo, Philippines",10.7748,122.54261,Smart,44359,7949,44.36,7.95,20,35,10,15
"Dinalupihan, Bataan, Philippines",14.88605,120.44729,Globe,41370,17407,41.37,17.41,16,35,5,11
"Toledo, Cebu, Philippines",10.38705,123.65017,Globe,11939,10584,11.94,10.58,28,34,10,16
"Meycauayan, Bulacan, Philippines",14.73772,120.96077,Globe,41670,6793,41.67,6.79,22,34,16,27
"Dagupan City, Pangasinan, Philippines",16.03375,120.33202,Smart,54864,6590,54.86,6.59,17,34,9,17
"Cabuyao City, Laguna, Philippines",14.27433,121.11961,Smart,65829,6893,65.83,6.89,20,34,14,23
"Malolos, Bulacan, Philippines",14.86049,120.80916,DITO,34858,9717,34.86,9.72,30,34,18,22
"Koronadal, South Cotabato, Philippines",6.50044,124.84333,Smart,69640,4836,69.64,4.84,27,33,13,22
"Binalonan, Pangasinan, Philippines",16.05355,120.60848,Smart,123276,4811,123.28,4.81,18,33,5,6
"Catmon, Cebu, Philippines",10.65242,123.9973,Smart,129740,16916,129.74,16.92,16,33,2,4
"Minglanilla, Cebu, Philippines",10.24543,123.79599,Globe,10650,5214,10.65,5.21,24,32,14,17
"Maasin, Southern Leyte, Philippines",10.13272,124.84081,Smart,52238,6917,52.24,6.92,44,32,1,3
"Tarlac City, Tarlac, Philippines",15.48808,120.58719,DITO,41354,4662,41.35,4.66,22,32,16,23
"Pili, Camarines Sur, Philippines",13.55521,123.28126,Smart,207858,11042,207.86,11.04,14,32,6,10
"Bamban, Tarlac, Philippines",15.2885,120.57044,Globe,46326,11795,46.33,11.80,19,31,5,6
"Plaridel, Bulacan, Philippines",14.88591,120.85932,Smart,156155,7587,156.16,7.59,17,31,11,17
"Legazpi City, Albay, Philippines",13.11288,123.76295,DITO,34933,6693,34.93,6.69,25,31,14,18
