Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Minimum Latency,Multi-Server Latency,Multi-Server Jitter,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
PLDT,Philippines,,"Nov 24, 2025",53536,18752,all,N/A,median,8,28.0333,5.9375,87747,91868,87.75,91.87
Smart,Philippines,,"Nov 24, 2025",10140,3338,N/A,cellular,median,19,57.7815,14.8635,42148,5420,42.15,5.42
DITO,Philippines,,"Nov 24, 2025",4531,1463,N/A,cellular,median,27,51.4941,14.1689,29172,5227,29.17,5.23
Globe,Philippines,,"Nov 24, 2025",13956,3850,N/A,cellular,median,21,43.349,11.8804,26959,7439,26.96,7.44
Converge,Philippines,,"Nov 25, 2025",76650,27211,all,N/A,median,5,12.7778,3.183,133096,139103,133.10,139.10
Globe,Philippines,,"Nov 25, 2025",44454,16644,all,N/A,median,6,25.9889,3.4069,121251,111783,121.25,111.78
PLDT Home Fiber,Philippines,,"Nov 25, 2025",101839,35002,all,N/A,median,6,20.6128,4.6458,101196,109005,101.20,109.01
PLDT,Philippines,,"Nov 25, 2025",51090,18001,all,N/A,median,8,28.1148,5.8125,89081,92034,89.08,92.03
Smart,Philippines,,"Nov 25, 2025",10175,3303,N/A,cellular,median,19,57.6603,15.3027,40988,5784,40.99,5.78
DITO,Philippines,,"Nov 25, 2025",4670,1360,N/A,cellular,median,28,52.4236,15.3086,25302,4911,25.30,4.91
Globe,Philippines,,"Nov 25, 2025",14031,3257,N/A,cellular,median,22,46.3266,13.5797,27750,7215,27.75,7.22
Converge,Philippines,,"Nov 26, 2025",72721,25831,all,N/A,median,5,12.1284,2.9557,140268,140119,140.27,140.12
Globe,Philippines,,"Nov 26, 2025",41890,15758,all,N/A,median,6,24.9166,3.1711,126163,113194,126.16,113.19
PLDT Home Fiber,Philippines,,"Nov 26, 2025",92568,32393,all,N/A,median,6,19.6618,4.3872,101775,107030,101.78,107.03
PLDT,Philippines,,"Nov 26, 2025",50511,17303,all,N/A,median,8,27.2784,5.7125,88739,91761,88.74,91.76
Smart,Philippines,,"Nov 26, 2025",9561,3265,N/A,cellular,median,19,56.5007,14.502,46225,6136,46.23,6.14
DITO,Philippines,,"Nov 26, 2025",4577,1422,N/A,cellular,median,28,50.6172,14.064,29469,5171,29.47,5.17
Globe,Philippines,,"Nov 26, 2025",13733,3308,N/A,cellular,median,21,43.5283,12.0318,29181,7785,29.18,7.79
Converge,Philippines,,"Nov 27, 2025",68994,22972,all,N/A,median,5,12.4703,2.8713,131724,136882,131.72,136.88
Globe,Philippines,,"Nov 27, 2025",37476,13522,all,N/A,median,6,25.7083,3.4,121572,110169,121.57,110.17
PLDT Home Fiber,Philippines,,"Nov 27, 2025",89409,30280,all,N/A,median,6,20.6833,4.1917,101308,109288,101.31,109.29
PLDT,Philippines,,"Nov 27, 2025",48299,16609,all,N/A,median,8,29.6267,5.625,87546,90385,87.55,90.39
Smart,Philippines,,"Nov 27, 2025",9550,3287,N/A,cellular,median,19,56.1267,14.4999,43386,6047,43.39,6.05
