Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,Device Count
"San Fernando City, La Union, Philippines",16.61592,120.32102,Globe,28951,5199,28.95,5.20,22,738,180,251
"Tarlac City, Tarlac, Philippines",15.48808,120.58719,Smart,67232,7163,67.23,7.16,18,735,194,304
"Dagupan City, Pangasinan, Philippines",16.03375,120.33202,Smart,60939,6821,60.94,6.82,17,731,132,193
"Surigao, Surigao del Norte, Philippines",9.79022,125.49311,Globe,14444,7388,14.44,7.39,34,731,57,74
"Taytay, Rizal, Philippines",14.55288,121.12571,Smart,60314,5032,60.31,5.03,15,717,235,348
"Gingoog City, Misamis Oriental, Philippines",8.81446,125.10406,Globe,18108,7700,18.11,7.70,29,715,36,46
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,DITO,72821,15398,72.82,15.40,20,710,223,339
"Las Piñas, Metro Manila, Philippines",14.44934,120.98186,DITO,51096,8387,51.10,8.39,22,695,217,300
"Mexico, Pampanga, Philippines",15.06457,120.72033,Globe,34204,8286,34.20,8.29,21,689,133,193
"Cauayan City, Isabela, Philippines",16.91662,121.78792,Globe,41602,7655,41.60,7.66,24,689,92,130
"Tacurong City, Sultan Kudarat, Philippines",6.6866,124.66353,Globe,14976,7315,14.98,7.32,33,688,37,56
"Cabanatuan City, Nueva Ecija, Philippines",15.49943,121.01057,Smart,46266,6544,46.27,6.54,27,688,206,292
"Tanza, Cavite, Philippines",14.34293,120.85032,Globe,20456,4995,20.46,5.00,18,684,176,261
"Tagbilaran City, Bohol, Philippines",9.6534,123.86703,Globe,20191,9085,20.19,9.09,41,684,96,135
"Tagaytay City, Cavite, Philippines",14.11541,120.96202,Globe,28253,7041,28.25,7.04,20,668,225,348
"General Trias, Cavite, Philippines",14.38159,120.87915,DITO,32510,3092,32.51,3.09,24,659,186,282
"SJDM, Bulacan, Philippines",14.82867,121.04324,DITO,32162,6653,32.16,6.65,27,656,143,198
"Pavia, Iloilo, Philippines",10.7748,122.54261,Globe,12866,5704,12.87,5.70,39,649,80,119
"San Mateo, Rizal, Philippines",14.69539,121.11767,Smart,55802,11373,55.80,11.37,16,644,165,267
"Pili, Camarines Sur, Philippines",13.55521,123.28126,Smart,71855,7320,71.86,7.32,19,638,68,98
"San Pablo City, Laguna, Philippines",14.06422,121.32326,Globe,36297,7021,36.30,7.02,19,637,161,231
"Puerto Princesa City, Palawan, Philippines",9.78563,118.62648,DITO,24368,5016,24.37,5.02,39,632,119,156
"Ligao City, Albay, Philippines",13.17242,123.4944,Globe,26976,3704,26.98,3.70,35,631,43,66
"Tanza, Cavite, Philippines",14.34293,120.85032,Smart,29391,2800,29.39,2.80,22,625,141,205
"Dumaguete City, Negros Oriental, Philippines",9.29841,123.29249,Smart,59426,8324,59.43,8.32,22,623,171,252
"San Pedro, Laguna, Philippines",14.36443,121.06192,Smart,55045,4930,55.05,4.93,19,620,226,328
"Silang, Cavite, Philippines",14.22025,120.96469,Smart,41986,4077,41.99,4.08,24,619,210,309
"Plaridel, Bulacan, Philippines",14.88591,120.85932,Smart,42884,4604,42.88,4.60,19,608,78,117
"Samal, Davao del Norte, Philippines",7.08352,125.70578,Globe,13507,6244,13.51,6.24,33,607,47,71
"Marikina, Metro Manila, Philippines",14.63493,121.10195,DITO,58891,10943,58.89,10.94,20,604,128,199
"Rodriguez, Rizal, Philippines",14.73202,121.14516,Globe,32477,10098,32.48,10.10,15,604,119,169
"Malabon, Metro Manila, Philippines",14.65793,120.95118,Globe,54642,7875,54.64,7.88,14,601,170,245
"Puerto Princesa City, Palawan, Philippines",9.78563,118.62648,Smart,46836,9159,46.84,9.16,44,599,166,237
"Mabalacat City, Pampanga, Philippines",15.24525,120.56567,Globe,32926,6269,32.93,6.27,21,592,166,244
"Malolos, Bulacan, Philippines",14.86049,120.80916,Smart,39191,3693,39.19,3.69,19,590,179,263
"Tagaytay City, Cavite, Philippines",14.11541,120.96202,Smart,34341,3326,34.34,3.33,23,590,202,315
"Malay, Aklan, Philippines",11.93033,121.95191,Smart,73110,6749,73.11,6.75,41,589,179,252
"Mexico, Pampanga, Philippines",15.06457,120.72033,DITO,25153,6646,25.15,6.65,24,578,44,233
"Santo Tomas, Batangas, Philippines",14.08754,121.17764,Smart,35673,3274,35.67,3.27,25,577,152,218
"Madalum, Lanao del Sur, Philippines",7.87552,124.10311,Globe,27837,2235,27.84,2.24,45,577,3,5
"Daet, Camarines Norte, Philippines",14.10303,122.9325,Globe,20810,4900,20.81,4.90,28,575,86,123
"Dagupan City, Pangasinan, Philippines",16.03375,120.33202,Globe,32938,5658,32.94,5.66,22,570,121,174
"Toledo, Cebu, Philippines",10.38705,123.65017,Globe,14170,8131,14.17,8.13,41,570,118,157
"Santiago, Isabela, Philippines",16.69679,121.55865,Globe,31693,7565,31.69,7.57,24,566,150,225
"Consolacion, Cebu, Philippines",10.37581,123.95694,Globe,35727,7145,35.73,7.15,33,565,136,199
"Malabon, Metro Manila, Philippines",14.65793,120.95118,Smart,72510,9950,72.51,9.95,14,547,170,236
"Santo Tomas, Batangas, Philippines",14.08754,121.17764,Globe,33079,6721,33.08,6.72,20,545,162,225
"Rodriguez, Rizal, Philippines",14.73202,121.14516,Smart,48822,6540,48.82,6.54,16,545,164,230
"Tagum, Davao del Norte, Philippines",7.44742,125.80246,Smart,48409,7115,48.41,7.12,27,542,121,180
"Talisay, Negros Occidental, Philippines",10.74828,122.98012,Smart,33755,5424,33.76,5.42,22,533,117,174
"Lipa City, Batangas, Philippines",13.94047,121.19395,DITO,23270,3071,23.27,3.07,22,526,140,216
"Liloan, Cebu, Philippines",10.39926,124.00002,Globe,24415,3693,24.42,3.69,34,519,118,175
"Oton, Iloilo, Philippines",10.69251,122.47868,Smart,41411,4266,41.41,4.27,17,518,70,107
"Marilao, Bulacan, Philippines",14.77237,120.96001,Globe,26024,5078,26.02,5.08,22,516,162,261
